"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Is Associated Structure?","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federally Regulated Dam","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks (ft)","Lock Width (Ft)","Length of Secondary Lock (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","Inundation Maps Added to NID?","American Indian/Alaska Native/Native Hawaiian"
"Reservoir 2","","","CA10423","","CA10423","Persephone Ranch Ltd. And Peju Province Winery","Private","Private","","No","","No","Debris Control","Debris Control;Irrigation","California","7000.145","38.625","-122.43270000000001","California","Napa","","","Burton Creek","California, Congressional District 04","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","","Earth","Earth","","","14","14","14","14","Less than 25 feet","","","","Undetermined","","96","96","96","","","","","","0","0","0","","","","2023-10-05","2023-01-27","1","High","Not Rated","","No","","https://damsafety.org/california","","","No",""
"La Contenta","","","CA01464","","CA01464","Calaveras County Water District","Local Government","Local Government","0","No","","No","Water Supply","Water Supply;Irrigation","California","1024.01","38.1695","-120.8211","California","Calaveras","Valley Springs","0","Tr Cosgrove Spring","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","43","","39","43","25-50 feet","565","44300","2002","Since 2000","","172","172","","14.5","0.19","","","","","","","","","","2024-02-22","2021-09-24","1","High","Satisfactory","2017-09-01","Yes","2019-12-19","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Boron Tails Pond 6","","","CA01178","","CA01178","Rio Tinto","Private","Private","0","No","","No","Water Supply","Water Supply;Tailings","California","738.003","35.0435","-117.7189","California","Kern","","","Offstream","California, Congressional District 23","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","39","","24","39","25-50 feet","10200","2015000","1980","1980-1989","","2235","2235","","120","","","","","","","","","","","2022-12-23","2022-08-30","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Spaulding  3","","","CA10237","","CA10237","USDA FS","Federal","Federal","0","No","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Fire Protection, Stock, Or Small Fish Pond","Forest Service","050955 9136","41.50833333","-121.1250001","California","Modoc","","","","California, Congressional District 01","No","","","","","","Yes","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","","No","N/A","Earth","Earth","","","9","","9","9","Less than 25 feet","1240","","1965","1960-1969","","80","","80","","0.8","","Controlled","10","","","","","","Slide (sluice gate)","2021-05-17","2010-09-07","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","","No",""
"Ferro Debris Basin","","","CA01299","","CA01299","Ventura County Watershed Protection District","Local Government","Local Government","0","No","","No","Debris Control","Debris Control","California","86.008","34.2622","-119.10780000000001","California","Ventura","El Rio","3.25","Tr Beardsley Wash","California, Congressional District 26","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","","45","","37","45","25-50 feet","265","33000","1986","1980-1989","","24","24","","2","0.6","","","","","","","","","","2024-02-22","2022-08-09","1","Significant","Satisfactory","2017-09-01","Yes","2022-09-01","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Beck","","","CA01551","","CA01551","Rainbow Municipal Water District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply","California","2048","33.3556","-117.1701","California","San Diego","Fallbrook","0","Offstream","California, Congressional District 48","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","95","","91","95","51-100 feet","3500","496111","1983","1980-1989","","625","625","","16.2","0.03","","","","","","","","","","2022-12-23","2022-06-09","1","High","Satisfactory","2017-09-01","Yes","2020-12-28","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"East Hicks Canyon Retarding Basin","","","CA01415","","CA01415","County of Orange","Local Government","Local Government","0","No","","No","Debris Control","Debris Control;Flood Risk Reduction","California","1012.015","33.723600000000005","-117.71870000000001","California","Orange","","","Hicks Can Wash","California, Congressional District 47","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","49","","40","49","25-50 feet","1168","339400","1997","1990-1999","","75","75","","6","0.54","","","","","","","","","","2022-12-23","2022-02-23","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"California Park","","","CA01270","","CA01270","California Park Association","Private","Private","0","No","","No","Water Supply","Water Supply;Recreation","California","1340","39.747","-121.7916","California","Butte","Chico","0","Dead Horse Slough","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","23","","18","23","Less than 25 feet","2100","85000","1986","1980-1989","","335","335","","44","4.15","","","","","","","","","","2022-12-23","2022-02-15","1","High","Satisfactory","2017-09-01","Yes","2022-10-06","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Treatment Ponds","","","CA01143","","CA01143","Private Entity","Private","Private","0","No","","No","Water Supply","Water Supply;Tailings","California","3223","40.436800000000005","-122.2611","California","Shasta","","","Tr Anderson Cr","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","16","","14","16","Less than 25 feet","6000","90000","1975","1970-1979","","450","450","","33","","","","","","","","","","","2022-12-23","","1","High","Not Rated","2022-03-18","No","","https://damsafety.org/california","Not Applicable","2023-02-22","No",""
"Hickory Basin","","","CA01373","","CA01373","County of San Bernardino Department of Public Works","Local Government","Local Government","0","No","","No","Flood Risk Reduction","Flood Risk Reduction;Other","California","87.013","34.0925","-117.51440000000001","California","San Bernardino","City of Fontana","0.1","W Fontana Channel","California, Congressional District 35","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","19","","9","19","Less than 25 feet","4600","17250","2001","Since 2000","","220","220","","15","","","","","","","","","","","2022-12-23","2022-02-16","1","Significant","Satisfactory","2017-09-01","Yes","2022-01-03","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Salinas River Diversion","","","CA01519","","CA01519","Monterey County Water Resources Agency","Public Utility","Public Utility","0","No","","No","Other","Other;Irrigation","California","1008.003","36.709900000000005","-121.751","California","Monterey","","","Salinas River","California, Congressional District 19","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Other","Other","","","16","","13","16","Less than 25 feet","140","0","2009","Since 2000","","120","120","","48","4000","","","","","","","","","","2022-12-23","2022-06-22","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Jameson Vineyards","","","CA01417","","CA01417","John Anthony Family of Wines Napa Valley LLC","Private","Private","0","No","","No","Water Supply","Water Supply;Irrigation;Recreation","California","4418","38.203900000000004","-122.2219","California","Napa","Napa","1.8","Tr Fagan Creek","California, Congressional District 04","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","41","","35","41","25-50 feet","375","36800","","Undetermined","","75","75","","6.2","0.78","","","","","","","","","","2024-02-22","2022-03-01","1","Significant","Satisfactory","2017-09-01","No","","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Headworks Reservoir East","","","CA01510","","CA01510","City of Los Angeles Department of Water And Power","Local Government","Local Government","0","No","","No","Water Supply","Water Supply;Tailings","California","6.055","34.1532","-118.3134","California","Los Angeles","","","Offstream","California, Congressional District 30","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Other","Other","","","32","","30","32","25-50 feet","2095","29000","2016","Since 2000","","165","165","","6.1000000000000005","","","","","","","","","","","2022-12-23","2021-10-05","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Agua Tibia","","","CA00783","","CA00783","Agua Tibia Ranch","Private","Private","0","No","","No","Water Supply","Water Supply;Irrigation","California","849","33.3611","-117.0156","California","San Diego","","","Offstream","California, Congressional District 48","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","35","","32","35","25-50 feet","1053","40000","1947","1940-1949","","62","62","","4","","","","","","","","","","","2022-12-23","2022-05-11","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"San Vicente","","","CA00113","","CA00113","City of San Diego","Local Government","Local Government","0","No","","No","Other","Other;Water Supply","California","8.009","32.9116","-116.9272","California","San Diego","Lakeside","0.8","San Vicente Creek","California, Congressional District 48","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Roller-Compacted Concrete","Roller-Compacted Concrete","","","338","","325","338","Greater than 100 feet","1425","911800","1943","1940-1949","","245000","245000","","1675","74.2","","","","","","","","","","2024-02-22","2021-12-01","1","High","Satisfactory","2017-09-01","Yes","2019-08-16","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"James J. Lenihan","","","CA00293","","CA00293","Santa Clara Valley Water District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Irrigation","California","72.008","37.2015","-121.988","California","Santa Clara","Los Gatos","1.5","Los Gatos Crk","California, Congressional District 16","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","208","","188","208","Greater than 100 feet","810","2081818","1953","1950-1959","","21430","21430","","450","27.7","","","","","","","","","","2023-10-05","2022-11-30","1","High","Fair","2022-02-08","Yes","2023-08-11","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","No",""
"Oroville","","","CA00035","","CA00035","California Department of Water Resources","State","State","3","No","DWR","No","Flood Risk Reduction","Flood Risk Reduction;Irrigation;Recreation;Hydroelectric;Water Supply","Federal Energy Regulatory Commission","02100-01-01","39.5364","-121.4834","California","Butte","Oroville","3","Feather River                 ","California, Congressional District 01","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth;Rockfill","Earth","Rock","770","748","770","770","Greater than 100 feet","6920","80000000","1968","1960-1969","","3540000","3540000","3540000","15800","3611","227000","Controlled","140","","","","","","Tainter (radial)8","2024-01-19","2023-06-06","1","High","Fair","2023-09-29","Yes","2023-01-03","https://www.ferc.gov/dam-safety-and-inspections","Under Remediation","2023-09-29","No",""
"Lake Burgundy","","","CA00567","","CA00567","Langtry Farms, LLC","Private","Private","0","No","","No","Water Supply","Water Supply;Irrigation","California","392.004","38.7488","-122.5245","California","Lake","","","Tr Bucksnort Creek","California, Congressional District 04","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","28","","25","28","25-50 feet","535","28000","1962","1960-1969","","200","200","","19","0.27","","","","","","","","","","2022-12-23","2021-08-31","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Davis Creek Orchard","","","CA00465","","CA00465","Modoc Ranch Properties, LLC.","Private","Private","0","No","","Yes","Water Supply","Water Supply;Irrigation;Recreation","California","171.002","41.712","-120.39120000000001","California","Modoc","","","Roberts Creek","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","17","","12","17","Less than 25 feet","2900","69302","1975","1970-1979","","1841","1841","","425","9","","","","","","","","","","2022-12-23","2022-06-16","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Whispering Oaks","","","CA01346","","CA01346","Whispering Oaks West Homeowner's Association","Private","Private","0","No","","No","Water Supply","Water Supply;Recreation","California","1671","37.4703","-120.1122","California","Mariposa","","","Bear Creek","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Gravity","Gravity","","","31","","24","31","25-50 feet","250","2648","1968","1960-1969","","69","69","","8","26.5","","","","","","","","","","2022-12-23","2022-05-10","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Foothill Ranch","","","CA00657","","CA00657","Private Entity","Private","Private","0","No","","No","Water Supply","Water Supply;Fire Protection, Stock, Or Small Fish Pond","California","573","38.103100000000005","-121.0306","California","San Joaquin","","","Tr Calaveras Rv","California, Congressional District 09","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","15","","11","15","Less than 25 feet","380","5972","1952","1950-1959","","100","100","","22","0.9","","","","","","","","","","2022-12-23","2022-01-11","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Gilmore","","","CA00655","","CA00655","Private Entity","Private","Private","0","No","","No","Water Supply","Water Supply;Irrigation","California","571","38.0446","-120.99080000000001","California","San Joaquin","","","Tr Mormon Slough","California, Congressional District 09","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","28","","21","28","25-50 feet","1080","40000","1918","1910-1919","","550","550","","52","4.89","","","","","","","","","","2022-12-23","2022-06-22","1","Significant","Satisfactory","2017-09-01","Yes","2022-03-07","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Magnolia","","","CA00966","","CA00966","Lake of the Pines Association","Private","Private","0","No","","No","Water Supply","Water Supply;Recreation","California","1302","39.0383","-121.072","California","Nevada","Lake of the Pines","0.1","Magnolia Creek","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","68","","60","68","51-100 feet","620","165000","1967","1960-1969","","4150","4150","","210","3.94","","","","","","","","","","2022-12-23","2022-03-14","1","High","Satisfactory","2017-09-01","Yes","2019-04-15","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Leonard Johnson","","","CA00492","","CA00492","Russ Ranch Company, LLC","Private","Private","0","No","","No","Water Supply","Water Supply;Irrigation","California","1125.004","41.6408","-120.40960000000001","California","Modoc","","","Dry Creek","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","18","","14","18","Less than 25 feet","720","9400","1948","1940-1949","","120","120","","1125","5","","","","","","","","","","2022-12-23","2022-06-16","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Lake Herman","","","CA00851","","CA00851","City of Benicia","Local Government","Local Government","0","No","","No","Water Supply","Water Supply;Irrigation","California","1028","38.0953","-122.15020000000001","California","Solano","Benicia","0.5","Sulphur Springs Cr","California, Congressional District 08","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","51","","44","51","51-100 feet","700","117300","1905","1900-1909","","2210","2210","","110","","","","","","","","","","","2022-12-23","2022-08-17","1","High","Satisfactory","2017-09-01","Yes","2019-06-21","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Perris","","","CA00054","","CA00054","California Department of Water Resources","State","State","0","No","","No","Water Supply","Water Supply;Irrigation;Recreation","California","1.068","33.8633","-117.1978","California","Riverside","Perris","0.4","Bernasconi Pass","California, Congressional District 41","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","130","","120","130","Greater than 100 feet","11600","16650000","1973","1970-1979","","131452","131452","","2340","10","","","","","","","","","","2022-12-23","2021-11-17","1","High","Satisfactory","2018-01-24","Yes","2022-06-24","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Morris S. Jones","","","CA00154","","CA00154","Pasadena City Department Of Water and Power","Local Government","Local Government","0","No","","No","Water Supply","Water Supply","California","19.003","34.1631","-118.0759","California","Los Angeles","Pasadena, Arcadia","0","","California, Congressional District 28","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","49","","46","49","25-50 feet","1470","68000","1952","1950-1959","","153.3","153.3","","6.3","","","","","","","","","","","2022-12-23","2022-01-19","1","High","Satisfactory","2017-09-01","Yes","2021-03-09","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Lake Angela","","","CA00936","","CA00936","Private Entity","Private","Private","0","No","","No","Water Supply","Water Supply;Irrigation","California","1224","40.6655","-122.29190000000001","California","Shasta","Redding","1","Chicken Spr Gulch","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","24","","20","24","Less than 25 feet","500","16000","1958","1950-1959","","150","150","","15","0.24","","","","","","","","","","2022-12-23","2022-01-12","1","High","Satisfactory","2017-09-01","Yes","2020-12-11","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Black Hawk","","","CA00707","","CA00707","Private Entity","Private","Private","0","No","","No","Water Supply","Water Supply;Recreation","California","687","37.164100000000005","-119.78420000000001","California","Madera","","","Coarse Gold Cr","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","45","","33","45","25-50 feet","510","33242","1971","1970-1979","","740","740","","55","58.800000000000004","","","","","","","","","","2022-12-23","2022-05-25","1","Significant","Satisfactory","2017-09-01","No","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Las Tablas Creek","","","CA00724","","CA00724","Mechanics Bank","Private","Private","0","No","","No","Other","Other;Irrigation;Water Supply","California","742","35.6876","-120.9415","California","San Luis Obispo","","","Las Tablas Cr","California, Congressional District 19","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","40","","24","40","25-50 feet","140","8000","1961","1960-1969","","180","180","","11","31.5","7897","","","","","","","","","2023-10-05","2023-06-20","0.5","Low","Poor","2021-08-18","Not Required","","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","No",""
"Lower Twin Lake","","","CA00644","","CA00644","Centennial Livestock","Private","Private","0","No","","Yes","Water Supply","Water Supply;Irrigation","California","531.002","38.1679","-119.32610000000001","California","Mono","Bridgeport","8","Robinson Creek","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","16","","12","16","Less than 25 feet","240","0","1888","Before 1900","","4011","4011","","399","39.1","","","","","","","","","","2024-02-22","2022-11-14","1","High","Fair","2017-09-01","Yes","2023-09-11","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Lower Rock Lake","","","CA10428","","CA10428","Pacific Gas and Electric Company","Private","Private","","No","","No","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","02310-02-01","39.4285","-120.62280000000001","California","Nevada","None                                              ","","Texas Creek                   ","California, Congressional District 03","No","","","","","","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","","Earth","Earth","","","10","9","11","11","Less than 25 feet","110","100","1855","Before 1900","","50","48","50","8.700000000000001","0.4","33","Uncontrolled","30","","","","","","","2024-01-19","2019-08-12","3","Low","Satisfactory","2023-09-29","Not Required","2021-12-23","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Guzman Reservoir","","","CA10407","","CA10407","Kern-Tulare Water District","Public Utility","Public Utility","","No","","No","Water Supply","Water Supply;Irrigation","California","737.002","35.7399","-119.06670000000001","California","Kern","Jasmin","0","Offstream","California, Congressional District 22","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","47","","43","47","25-50 feet","1275","360445","","Undetermined","","684","684","","33.18","0.18","80","","","","","","","","","2022-12-23","2022-04-28","1","High","Satisfactory","2020-12-01","Yes","2021-08-27","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Dead Horse Reservoir","","","CA10312","","CA10312","USDA FS","Federal","Federal","0","No","","No","Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond","Forest Service","050955 9123","41.7077","-120.58850000000001","California","Modoc","","","","California, Congressional District 01","No","","","","","","Yes","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","","No","N/A","Earth","Earth","","","7","5","7","7","Less than 25 feet","550","","1931","1930-1939","","600","","600","","","95","Uncontrolled","30","","","","","","Uncontrolled","2021-05-17","2011-08-01","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","","No",""
"Murphys Wastewater","","","CA01185","","CA01185","Murphys Sanitary District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Other;Irrigation","California","2024","38.127900000000004","-120.4619","California","Calaveras","Murphys","0","Offstream","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","24","","20","24","Less than 25 feet","590","34600","1980","1980-1989","","140","140","","10","0.1","","","","","","","","","","2022-12-23","2022-02-09","1","High","Satisfactory","2017-09-01","Yes","2022-09-12","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Upper Letts","","","CA10302","","CA10302","USDA FS","Federal","Federal","0","No","","No","Recreation","Recreation","Forest Service","050853 9100","39.307871999999996","-122.716621","California","Colusa","STONYFORD","18","LETTS CREEK","California, Congressional District 01","No","","","","","","Yes","Forest Service","","","","Forest Service","Forest Service","Forest Service","","No","N/A","Earth","Earth","","","21","26","21","26","25-50 feet","212","","1958","1950-1959","","319","319","319","","0","","Uncontrolled","","","","","","","","2021-05-17","2014-06-23","1","High","Not Rated","","No","","https://www.fs.usda.gov/eng/dams/","","","No",""
"Middle Cooperstown","","","CA01306","","CA01306","Private Entity","Private","Private","0","No","","No","Water Supply","Water Supply","California","1550","37.7502","-120.5383","California","Tuolumne","","","Tr Dry Creek","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","24","","20","24","Less than 25 feet","550","17280","1947","1940-1949","","90","90","","17","","","","","","","","","","","2022-12-23","2022-08-25","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Grass Lake","","","CA10329","","CA10329","USDA FS","Federal","Federal","0","No","","No","Fish and Wildlife Pond","Fish and Wildlife Pond;Recreation","Forest Service","0511 CA10329","39.7282","-120.6967","California","Plumas","","","","California, Congressional District 03","No","","","","","","Yes","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","","No","N/A","Earth","Earth","Earth","Soil","10","","10","10","Less than 25 feet","220","","1893","Before 1900","","180","","180","","","275","Uncontrolled","15","","","","","","","2021-05-17","2008-09-22","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","","No",""
"Reservoir N","","","CA10317","","CA10317","USDA FS","Federal","Federal","0","No","","No","Irrigation","Irrigation;Other","Forest Service","050955 9112","41.6250001","-120.8833","California","Modoc","","","","California, Congressional District 01","No","","","","","","Yes","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","Forest Service","","No","N/A","Earth","Earth","","","7","4","7","7","Less than 25 feet","1525","","1977","1970-1979","","628","","628","","3.6","","Controlled","25","","","","","","Slide (sluice gate)","2021-05-17","2010-09-07","10","Low","Not Rated","","Not Required","","https://www.fs.usda.gov/eng/dams/","","","No",""
"J&T Cattle Company No. 1","","","CA01602","","CA01602","J&T Cattle Company","Private","Private","0","No","","No","Water Supply","Water Supply;Fire Protection, Stock, Or Small Fish Pond;Other;Irrigation","California","567","37.6167","-120.50720000000001","California","Stanislaus","","","Peaslee Creek","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","22","","18","22","Less than 25 feet","300","10000","2013","Since 2000","","131.8","131.8","","15.700000000000001","","","","","","","","","","","2023-10-05","2023-02-08","0.5","Low","Fair","2017-09-01","Not Required","","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","No",""
"Galivan Retarding Basin","","","CA01427","","CA01427","County of Orange","Local Government","Local Government","0","No","","No","Water Supply","Water Supply","California","1012.012","33.5632","-117.67620000000001","California","Orange","","","Oso Creek","California, Congressional District 49","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","14","","9","14","Less than 25 feet","600","6000","2000","Since 2000","","169","169","","17","13.4","","","","","","","","","","2022-12-23","2022-02-24","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Junge No. 3","","","CA01032","","CA01032","Private Entity","Private","Private","0","No","","No","Water Supply","Water Supply;Irrigation;Recreation","California","3220.003","40.6714","-121.96130000000001","California","Shasta","Palo Cedros","15","Tr Clover Creek","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","43","","39","43","25-50 feet","860","47000","1966","1960-1969","","180","180","","13","0.45","","","","","","","","","","2023-03-02","2022-03-14","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
